"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26"
-1.7084191e+000,-1.0965971e+000,-5.1772306e-001,-1.3002857e+000,-1.0037178e+000,1.0048311e+000,-1.6062366e+000,4.4586256e-001,7.5304836e-001,1.2697635e+000,-5.8747673e-001,4.3782169e-001,2.3588920e-001,-3.6661282e-001,5.7367906e-001,1.1141452e+000,1.7309104e+000,7.0789288e-001,-1.6842355e+000,-1.2562825e+000,1.4471637e+000,-1.7868169e-001,3.8806976e-001,1.5326187e-001,1.0646832e+000,-1.0084817e+000
3.4755696e-001,6.2691665e-001,2.3472503e+000,1.4459924e+000,1.8719799e+000,6.5816465e-001,-5.1787992e-001,5.7885706e-002,-9.4644211e-001,-4.4986094e-001,1.1082848e+000,4.9776765e-001,8.0705578e-002,-1.1232056e+000,-7.7181447e-001,-1.5606439e+000,-1.1665167e+000,-1.3815506e+000,7.0261761e-001,-2.5328824e-001,-7.5346934e-002,1.7404008e+000,1.1773893e+000,1.4995131e+000,3.6809606e-001,1.0116262e-001
-6.0228722e-001,-6.3765522e-001,-7.6070043e-001,-5.7380440e-001,-9.7968094e-001,-5.9661983e-001,-1.4516369e+000,9.5104303e-001,-1.1790230e+000,1.6984421e+000,-8.2559878e-001,-4.8221431e-001,-1.1918867e+000,-4.0025588e-002,1.4218575e+000,-1.0991709e+000,-1.1109101e+000,-1.5504248e+000,-1.2730282e+000,-1.1198971e+000,-1.1260563e+000,-1.4014450e-003,4.5423677e-001,-6.4072859e-001,-1.3026104e+000,4.8628930e-001
9.9468769e-001,4.8361466e-001,1.5114601e-001,-2.9415629e-001,1.9341617e-001,6.3821350e-001,7.0485832e-001,1.4001459e+000,-6.8638177e-001,4.1035482e-001,-1.1326420e-001,-1.4468482e+000,7.6748855e-001,-1.3797406e+000,-8.3023588e-001,-1.9723738e+000,1.3598587e+000,1.1566222e+000,-1.8083627e-001,1.0397030e+000,9.4681466e-002,1.6973280e+000,-1.5454057e+000,-9.4987771e-001,1.5630723e+000,-2.1783474e+000
1.2115689e+000,8.5507106e-001,3.9549210e-001,-1.3708164e+000,9.2064044e-001,1.3537566e+000,1.2430823e+000,-1.4401788e-001,-1.0683141e+000,1.0572862e+000,-7.7379677e-001,4.8166180e-001,-1.7563179e+000,1.7225343e+000,-5.5030617e-001,9.7660825e-001,1.7860175e+000,1.6847856e+000,-1.0402976e+000,-9.4906962e-001,9.6380030e-001,-9.3066242e-003,-7.3242193e-001,-1.2654356e+000,-7.3451385e-001,-2.1168814e+000
-2.1780944e-001,2.2386236e-001,-5.9480795e-001,2.5717066e-001,-8.8167310e-001,-5.9463511e-001,1.1289561e+000,-1.1484333e+000,3.0859164e-001,7.1479272e-001,-1.2424836e+000,-1.2929099e+000,5.0463904e-002,9.8494359e-001,6.9375371e-001,-2.0578284e+000,2.4475891e-001,-9.9358875e-001,1.7426725e+000,3.5124748e-001,-1.4651073e+000,8.1505177e-001,-8.7124782e-001,-3.6373166e-001,-1.1590765e+000,8.7005026e-001
-7.9179952e-001,-1.2847259e+000,-6.9511788e-001,7.8514556e-001,-5.1417367e-001,-2.7968002e-001,-1.5006675e+000,-1.2566632e+000,-1.3866653e+000,1.7895774e-001,1.2727203e+000,6.6135616e-001,-1.6819584e+000,-1.0788049e+000,-1.0615851e+000,4.2033921e-001,3.3756602e-001,-6.6844894e-001,1.5791469e+000,1.6203832e+000,1.0048605e+000,-8.8074225e-001,-1.5860818e+000,-6.2904749e-001,-7.6054873e-001,5.1646935e-002
-7.0072343e-002,-2.1790721e-001,-6.4077044e-001,-8.8230430e-001,-8.4644701e-001,-6.0858480e-002,4.5854545e-001,1.2948702e+000,-1.5516116e+000,1.1039808e+000,3.2188564e-001,7.2942719e-001,-1.4580385e+000,-1.0554855e+000,6.9733375e-001,-3.1343710e-002,-4.8154937e-002,4.5033429e-002,3.5649668e-002,-9.5428079e-001,6.6193001e-001,-6.5649872e-001,9.2738158e-001,-9.2070533e-001,-1.3790097e+000,5.6985566e-001
1.1516474e+000,1.5704083e+000,3.0330559e+000,1.4087397e+000,2.8824682e+000,3.7766267e-001,-1.5086425e+000,1.6034062e+000,-5.2473688e-001,-1.0248495e+000,-1.3902278e+000,-1.4268216e+000,-1.0491529e+000,1.3905812e+000,-1.8026236e+000,7.7375335e-001,1.2534257e+000,9.1545424e-002,1.3628515e+000,-1.4305784e+000,-1.1597361e+000,-1.3921788e+000,1.2339530e+000,1.1261842e+000,-2.9500886e-001,2.5683608e+000
-1.2305538e+000,-6.1891772e-001,-8.5346443e-001,-1.4601243e+000,-8.6723289e-001,-5.4627001e-001,-7.0299590e-002,-1.9549449e-001,1.2176702e-002,-1.3841745e+000,-1.2080186e+000,-2.7097336e-001,-1.2064620e+000,-1.8079287e+000,5.8316052e-002,-2.2705765e-001,-2.2613512e-001,-4.0309031e-001,-2.8419922e-001,-1.1556417e+000,1.2200493e+000,1.3943762e+000,7.3367218e-003,2.5999107e-001,-9.8497609e-002,-2.2655477e-001
