,Algorithm,Features.Entropy.Kurtosis,Features.Entropy.Mean,Features.Entropy.Skew,Features.Entropy.StandardDeviation,Features.Kurtosis.Kurtosis,Features.Kurtosis.Mean,Features.Kurtosis.Skew,Features.Kurtosis.StandardDeviation,Features.Mean.Kurtosis,Features.Mean.Mean,Features.Mean.Skew,Features.Mean.StandardDeviation,Features.MutualInformation.Kurtosis,Features.MutualInformation.Mean,Features.MutualInformation.Skew,Features.MutualInformation.StandardDeviation,Features.Skew.Kurtosis,Features.Skew.Mean,Features.Skew.Skew,Features.Skew.StandardDeviation,Features.SpearmanCorrelation.Kurtosis,Features.SpearmanCorrelation.Mean,Features.SpearmanCorrelation.Skew,Features.SpearmanCorrelation.StandardDeviation,Features.StandardDeviation.Kurtosis,Features.StandardDeviation.Mean,Features.StandardDeviation.Skew,Features.StandardDeviation.StandardDeviation,FeaturesLabels.MutualInformation.Kurtosis,FeaturesLabels.MutualInformation.Mean,FeaturesLabels.MutualInformation.Skew,FeaturesLabels.MutualInformation.StandardDeviation,FeaturesLabels.SpearmanCorrelation.Kurtosis,FeaturesLabels.SpearmanCorrelation.Mean,FeaturesLabels.SpearmanCorrelation.Skew,FeaturesLabels.SpearmanCorrelation.StandardDeviation,Number of Classes,Number of Examples,Number of Features,bootstrap,bootstrap_features,ds,max_features,max_samples,n_estimators,pruning_cp,pruning_method
0,1,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.25,0
1,2,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.25,0
2,3,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.25,0
3,4,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.25,0
4,1,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.25,1
5,2,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.25,1
6,3,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.25,1
7,4,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.25,1
8,1,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.5,0
9,2,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.5,0
10,3,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.5,0
11,4,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.5,0
12,1,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.5,1
13,2,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.5,1
14,3,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.5,1
15,4,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.5,1
16,1,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.75,0
17,2,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.75,0
18,3,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.75,0
19,4,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.75,0
20,1,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.75,1
21,2,,,,,-0.25373251333604196,21.519130490214835,1.1473774249693218,32.97670556946451,1.0340242704129796,0.7862318840579711,-1.699925474653724,0.35570042076159075,,,,,-1.072050394343873,-3.4396571303526415,-0.6423146559466646,3.4671634875157555,,,,,-1.3992767283237364,0.1509647172107205,0.3347895323339276,0.136960481074428,,,,,,,,,6,92,6,1,0,0,1.0,1.0,50,0.75,1
